Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1979,"TUNA, ALBACORE",1458.673491,3333.75855
1979,"TUNA, BIGEYE",1779.380054,4066.724667
1979,"TUNA, BLACKFIN",680,1554.121486
1979,"TUNA, BLUEFIN",2660.791776,6081.16716
1979,"TUNA, BLUEFIN PACIFIC",1007.128058,2301.763757
1979,"TUNA, LITTLE TUNNY",1794.301075,4100.826255
1979,"TUNA, SKIPJACK",822.9562799,1880.844172
1979,"TUNA, YELLOWFIN",963.1458238,2201.243557
1979,TUNAS,974.6925993,2227.633398
1980,"TUNA, ALBACORE",1736.194777,3636.379189
1980,"TUNA, BIGEYE",1925.576324,4033.030029
1980,"TUNA, BLACKFIN",1095.973367,2295.46523
1980,"TUNA, BLUEFIN",2676.280129,5605.344223
1980,"TUNA, BLUEFIN PACIFIC",1341.820794,2810.381228
1980,"TUNA, LITTLE TUNNY",534.6116505,1119.719231
1980,"TUNA, SKIPJACK",1128.019422,2362.584201
1980,"TUNA, YELLOWFIN",1272.228415,2664.623229
1980,TUNAS,1304.081505,2731.338044
1981,"TUNA, ALBACORE",1925.532107,3687.346216
1981,"TUNA, BIGEYE",1415.416939,2710.488323
1981,"TUNA, BLACK SKIPJACK",221.6292135,424.4144456
1981,"TUNA, BLACKFIN",1066.681534,2042.668676
1981,"TUNA, BLUEFIN",1919.116364,3675.060228
1981,"TUNA, BLUEFIN PACIFIC",1449.761606,2776.257509
1981,"TUNA, LITTLE TUNNY",828.6451613,1586.834927
1981,"TUNA, SKIPJACK",1165.067185,2231.074755
1981,"TUNA, YELLOWFIN",1330.376305,2547.637619
1981,TUNAS,1950.030519,3734.260067
1982,"TUNA, ALBACORE",1501.650103,2710.479134
1982,"TUNA, BIGEYE",1352.020621,2440.397848
1982,"TUNA, BLACKFIN",1011.283784,1825.3677
1982,"TUNA, BLUEFIN",3724.685643,6723.059316
1982,"TUNA, BLUEFIN PACIFIC",1125.990959,2032.414205
1982,"TUNA, LITTLE TUNNY",950.9807692,1716.52073
1982,"TUNA, SKIPJACK",991.8714566,1790.32844
1982,"TUNA, YELLOWFIN",1234.541121,2228.347298
1982,TUNAS,2506.560353,4524.342603
1983,"TUNA, ALBACORE",1289.062476,2238.224735
1983,"TUNA, BIGEYE",3778.14327,6560.065068
1983,"TUNA, BLACK SKIPJACK",422.0474138,732.8092923
1983,"TUNA, BLACKFIN",686.5714286,1192.107584
1983,"TUNA, BLUEFIN",6128.565918,10641.15051
1983,"TUNA, BLUEFIN PACIFIC",1411.401142,2450.643786
1983,"TUNA, LITTLE TUNNY",529.7841727,919.8747628
1983,"TUNA, SKIPJACK",831.0144798,1442.906918
1983,"TUNA, YELLOWFIN",1102.787715,1914.792175
1983,TUNAS,2589.577332,4496.334465
1984,"TUNA, ALBACORE",1357.588025,2271.882001
