SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
2700,Argentina,silus,Argentina silus,10536,unsexed,4,,,"west of Ireland and Scotland, 1992",UK No Ireld,
2700,Argentina,silus,Argentina silus,10536,unsexed,6,,,Not specified.,Norway,
2700,Argentina,silus,Argentina silus,10536,unsexed,7,,,Norway,Norway,
2700,Argentina,silus,Argentina silus,10536,unsexed,8.699999809,,,Iceland,Iceland,
6968,Argyropelecus,hemigymnus,Argyropelecus hemigymnus,#N/A,unsexed,1,,,Not specified.,,
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,female,1.299999952,,,south-eastern Cape,South Africa,
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,female,1.5,,,1996-97,Namibia,Data from ski-boat landings at  Swakopmund.
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,female,2.400000095,,,southern Cape,South Africa,
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,male,1,,,south-eastern Cape,South Africa,
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,male,1.5,,,southern Cape,South Africa,
17270,Argyrosomus,inodorus,Argyrosomus inodorus,#N/A,male,1.600000024,,,1996-97,Namibia,Data from ski-boat landings at  Swakopmund.
443,Argyrozona,argyrozona,Argyrozona argyrozona,3187,mixed,5,,,Tsitsikamma National Park,South Africa,
392,Arripis,georgianus,Arripis georgianus,2330,unsexed,,2,4,southern coasts,Australia,
5048,Arripis,trutta,Arripis trutta,3131,female,4,,,Bay of Plenty (early 1990s),New Zealand,"Length range refers to mean length at maturity based on Fig. 3, Ref. 86369 (data source: J. McKenzie, NIWA, unpubl.). Females apparently mature earlier than males."
5048,Arripis,trutta,Arripis trutta,3131,male,4,,,Bay of Plenty (early 1990s),New Zealand,"Length range refers to mean length at maturity; based on Fig. 3, Ref. 86369 (data source: J. McKenzie, NIWA, unpubl.)"
14606,Arripis,truttacea,Arripis truttacea,#N/A,unsexed,,3,4,western coasts,Australia,Weight: 3000-5000 g. Growth rates decrease from west to east across the population. Migration of mature fish is thus spread over 4 age groups.
14606,Arripis,truttacea,Arripis truttacea,#N/A,unsexed,,4,6,central and eastern coasts,Australia,Weight: 3000-5000 g. Growth rates decrease from west to east across the population. Migration of mature fish is thus spread over 4 age groups.
44,Aspitrigla,cuculus,Aspitrigla cuculus,2533,unsexed,2,,,Saronikos Gulf,Greece,
517,Atheresthes,stomias,Atheresthes stomias,3356,female,,6,7,Bering Sea,Russian Fed,
517,Atheresthes,stomias,Atheresthes stomias,3356,male,,5,6,Bering Sea,Russian Fed,
61247,Atherinomorus,vaigiensis,Atherinomorus vaigiensis,#N/A,unsexed,,2,2,Not specified.,Australia,
3235,Atherinops,affinis,Atherinops affinis,#N/A,unsexed,2,,,California Current Region,,
3236,Atherinopsis,californiensis,Atherinopsis californiensis,#N/A,unsexed,2.5,,,California Current region,USA,
420,Atractoscion,aequidens,Atractoscion aequidens,3158,unsexed,5,,6,"Eastern seaboard, 1985-86",South Africa,
