ISSCAAP_species,Species_AFSIS,CommName,best_fit_AgCommodity_0711,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing,Years,Wted_avg_sp_price,Five_yr_stock_price,New_Five_yr_stock_price
Miscellaneous coastal fishes,Mycteroperca bonaci,Black grouper,Grouper,4405.11835,3098.730281,3236.374731,3613.465841,3801.001248,2943.377802,2379.972497,3130.75181,3330.137094,3009.332051,3398.84669,3916.980392,0,2007-2011,7405,7405,3357.209607
Miscellaneous coastal fishes,Mycteroperca microlepis,Gag,Grouper,4405.11835,3098.730281,3236.374731,3613.465841,3801.001248,2943.377802,2379.972497,3130.75181,3330.137094,3009.332051,3398.84669,3916.980392,0,2007-2011,7983,"7,663-8,389",3357.209607
Miscellaneous coastal fishes,Pagrus pagrus,Red porgy,Seabreams,1550.981225,1905.93999,1951.07131,2140.189363,2981.637447,3033.792817,2577.133005,2589.697204,3036.711306,2718.472,2791.878864,3100.574465,0,2007-2011,3514,3514,2847.466768
Miscellaneous coastal fishes,Stenotomus chrysops,Scup,Seabreams,1550.981225,1905.93999,1951.07131,2140.189363,2981.637447,3033.792817,2577.133005,2589.697204,3036.711306,2718.472,2791.878864,3100.574465,0,2006-2010,1906,1906,2742.778476
Miscellaneous coastal fishes,Scorpaenichthys marmoratus,Cabezon,Misc. coastal fishes,2268.928121,1671.834632,1773.493703,1817.24379,1845.689288,1833.200672,1693.632987,1708.197618,2023.860754,1619.118353,1772.839553,2043.66403,0,2008-2012,8919,"7,694-9,898",1864.870673
Miscellaneous coastal fishes,Hexagrammos decagrammus,Kelp greenling,Misc. coastal fishes,2268.928121,1671.834632,1773.493703,1817.24379,1845.689288,1833.200672,1693.632987,1708.197618,2023.860754,1619.118353,1772.839553,2043.66403,0,2008-2012,10467,10467,1864.870673
Miscellaneous coastal fishes,Ophiodon elongatus,Lingcod,Misc. coastal fishes,2268.928121,1671.834632,1773.493703,1817.24379,1845.689288,1833.200672,1693.632987,1708.197618,2023.860754,1619.118353,1772.839553,2043.66403,0,2008-2012; 2006-2010,1879,"1,780-3,860",1810.218883
Miscellaneous coastal fishes,Pleurogrammus monopterygius,Atka mackerel,Atka mackerel,621.4756708,852.8853427,971.2949393,757.3443746,873.1199322,1242.500608,1137.512785,1081.164626,862.1848063,860.0526005,871.1538823,941.1953142,5,2008-2012,383,383,883.6466508
Miscellaneous demersal fishes,Lophius americanus,American angler,Angler (=Monk),2033.994353,2068.546451,1978.249342,2144.693866,2557.695262,2582.767605,3124.413616,3307.496618,3229.79096,3151.387618,3023.668427,3397.934554,0,2006-2010,2419,2419,3167.351448
Miscellaneous demersal fishes,Lopholatilus chamaeleonticeps,Great Northern tilefish,Misc. demersal fishes,1186.264024,1054.593783,1117.390404,1108.383898,1105.263036,1199.051408,1091.516226,1175.474245,1256.49878,1528.47268,1242.175975,1641.919829,0,2006-2011; 2007-2012,5319,"3,988-5,547",1322.676289
Miscellaneous demersal fishes,Dissostichus eleginoides,Patagonian toothfish,Toothfish (Dissostichus spp.),2835.538612,2552.121448,2892.919412,3081.783973,3662.023369,4812.700872,4614.191319,4298.825408,3704.124376,4523.092307,5558.850986,7102.185278,6,2007-2011,2635,2635,5037.415671
Miscellaneous demersal fishes,Anoplopoma fimbria,Sablefish,Sablefish,2354.045135,2656.866004,2593.972986,2662.978115,2711.72462,2535.511976,3415.613592,3633.742832,3849.597616,4242.623184,3891.092226,3564.236459,5,2008-2012; 2006-2010,7446,"5,411-8,432",3766.150985
Miscellaneous demersal fishes,Sebastes alutus,Pacific ocean perch,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012; 2006-2010,239,"148-1,083",743.7890736
Miscellaneous demersal fishes,Sebastes crameri,Darkblotched rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012,1170,1170,697.9615695
Miscellaneous demersal fishes,Sebastes diploproa,Splitnose rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012,751,751,697.9615695
Miscellaneous demersal fishes,Sebastes entomelas,Widow rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012; 2006-2010,968,967-981,743.7890736
Miscellaneous demersal fishes,Sebastes flavidus,Yellowtail rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012; 2006-2010,1000,"925-1,124",743.7890736
Miscellaneous demersal fishes,Sebastes goodei,Chilipepper rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012,1502,1502,697.9615695
Miscellaneous demersal fishes,Sebastes melanops,Black rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012,4375,4375,697.9615695
Miscellaneous demersal fishes,Sebastes paucispinis,Bocaccio rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012; 2006-2010,1030,"956-2,431",743.7890736
Miscellaneous demersal fishes,Sebastes pinniger,Canary rockfish,Pacific redfishes (=ocean perch),507.1896949,499.6515288,461.4946144,482.2259558,502.9223401,724.4506909,808.0504556,862.8377082,643.8785134,615.5607431,707.8282306,824.5787909,6,2008-2012; 2006-2010,1138,"1,135-1,212",743.7890736
Miscellaneous demersal fishes,Sebastolobus alascanus,Shortspine thornyhead,Misc. demersal fishes,1186.264024,1054.593783,1117.390404,1108.383898,1105.263036,1199.051408,1091.516226,1175.474245,1256.49878,1528.47268,1242.175975,1641.919829,0,2008-2012,2321,"1,516-2,758",1417.266816
Miscellaneous demersal fishes,Anarhichas lupus,Atlantic wolffish,Wolffishes (=Catfishes),960.1373142,905.0364856,850.311077,1174.370777,1114.336615,1201.003853,1430.313979,1568.825721,1496.263369,1344.173953,1412.002688,1794.365298,0,2006-2010,1743,1743,1450.315942
Miscellaneous diadromous fishes,Morone saxatilis,Striped bass,Misc. diadromous fishes,499.697785,809.6386526,748.6367337,839.3345698,904.0759772,843.5274822,829.8078305,917.5047275,564.8747552,648.6077777,885.2590411,942.4487165,0,2006-2010,4768,4768,769.2108264
Miscellaneous pelagic fishes,Seriola dumerili,Greater amberjack,Amberjacks,758.4856439,1106.487624,814.1770777,795.6258522,651.6761288,832.0226373,753.6901747,883.1089223,4113.862199,4648.725982,5260.934655,6189.830619,0,2007-2011,2251,"2,145-2,396",3641.692092
Miscellaneous pelagic fishes,Pomatomus saltatrix,Bluefish,Misc. pelagic fishes,335.3388253,215.2462622,200.6371777,342.2977406,257.0876067,275.0043546,297.9541778,637.4511769,822.4817523,923.6291994,1175.150326,1409.265223,0,2008-2012,1111,1111,1082.631625
Miscellaneous pelagic fishes,Mallotus villosus,Capelin,Capelin,161.1924883,161.7356631,202.158249,185.8714479,254.4734067,272.626998,326.9811965,430.6710638,464.9306964,281.194717,319.2047727,445.1624142,0,2006-2010,197,101-208,364.5964893
Miscellaneous pelagic fishes,Scomber japonicus,Chub mackerel,Chub mackerel,701.637704,843.4998181,830.9836026,884.5935796,800.7269913,795.1976111,797.7038963,849.6136382,1129.898214,1271.445165,1386.332575,1561.842506,0,2008-2012,223,223,1337.379615
Miscellaneous pelagic fishes,Scomber scombrus,Atlantic mackerel,Atlantic mackerel,247.5888847,304.7352295,360.3516968,367.9262912,472.5047694,713.2780041,602.6403182,581.9395996,725.5644948,558.9501543,557.3701861,717.5068561,0,2006-2010,368,312-364,605.2929506
Miscellaneous pelagic fishes,Peprilus triacanthus,Atlantic butterfish,"Pomfrets, ocean breams",1054.823271,962.2681726,1086.685208,839.4904544,925.5740631,1001.478965,1131.711219,1272.286902,1463.646274,1397.295096,1971.992007,2227.905871,4,2008-2012,1582,1582,1765.209812
"Scallops, pectens",Patinopecten caurinus,Weathervane scallop,Scallops,1150.629713,1133.558368,1068.760125,1309.902928,1387.149951,1622.973352,1678.040788,1625.643639,1635.605003,1632.877799,1683.277967,2020.331593,0,2004-2008,13057,13507,1589.882547
"Scallops, pectens",Placopecten magellanicus,American sea scallop,Scallops,1150.629713,1133.558368,1068.760125,1309.902928,1387.149951,1622.973352,1678.040788,1625.643639,1635.605003,1632.877799,1683.277967,2020.331593,0,2006-2010,5277,"1,392-15,170",1651.089039
"Sharks, rays, chimaeras",Carcharhinus acronotus,Blacknose shark,Sharks,981.4145195,799.8189418,729.8088035,776.1494773,843.8151065,799.3597795,846.0944099,859.0359586,845.2439646,753.5423529,899.0956493,1076.707862,0,2007-2011,1293,1293,886.7251576
"Sharks, rays, chimaeras",Carcharhinus isodon,Finetooth shark,Sharks,981.4145195,799.8189418,729.8088035,776.1494773,843.8151065,799.3597795,846.0944099,859.0359586,845.2439646,753.5423529,899.0956493,1076.707862,0,2007-2011,1495,1495,886.7251576
"Sharks, rays, chimaeras",Rhizoprionodon terraenovae,Atlantic sharpnose shark,Sharks,981.4145195,799.8189418,729.8088035,776.1494773,843.8151065,799.3597795,846.0944099,859.0359586,845.2439646,753.5423529,899.0956493,1076.707862,0,2007-2011,926,926,886.7251576
"Sharks, rays, chimaeras",Sphyrna lewini,Scalloped hammerhead,Sharks,981.4145195,799.8189418,729.8088035,776.1494773,843.8151065,799.3597795,846.0944099,859.0359586,845.2439646,753.5423529,899.0956493,1076.707862,0,2007-2011,646,646,886.7251576
"Sharks, rays, chimaeras",Sphyrna tiburo,Bonnethead,Sharks,981.4145195,799.8189418,729.8088035,776.1494773,843.8151065,799.3597795,846.0944099,859.0359586,845.2439646,753.5423529,899.0956493,1076.707862,0,2007-2011,1075,1075,886.7251576
"Sharks, rays, chimaeras",Squalus acanthias,Picked dogfish,Dogfish (Squalidae),482.0742097,568.0072589,543.6018797,598.4458162,491.0195526,674.7803443,613.1251569,677.9181666,758.4986217,778.8849381,804.7773505,814.4459135,0,2008-2012; 2006-2010,1415,"334-2,000",741.2750246
"Shrimps, prawns",Pandalus borealis,Northern prawn,Shrimps and prawns (Pandalidae spp.),1688.731081,1424.87696,1348.967776,1460.379723,1343.81014,1434.655751,1441.345297,1623.979838,1964.859333,1700.950327,1777.870446,2278.532472,0,2005-2009; 2006-2011,1306,"857-1,515",1746.027638
"Shrimps, prawns",Pandalus jordani,Ocean shrimp,Shrimps and prawns (Pandalidae spp.),1688.731081,1424.87696,1348.967776,1460.379723,1343.81014,1434.655751,1441.345297,1623.979838,1964.859333,1700.950327,1777.870446,2278.532472,0,2008-2012; 2005-2009,1005,"926-2,287",1746.027638
"Shrimps, prawns",Pandalus platyceros,Spot shrimp,Shrimps and prawns (Pandalidae spp.),1688.731081,1424.87696,1348.967776,1460.379723,1343.81014,1434.655751,1441.345297,1623.979838,1964.859333,1700.950327,1777.870446,2278.532472,0,2008-2012; 2005-2009,11562,"11,176-13,160",1746.027638
