SciName,CommName,family,order
Tanichthys albonubes,White cloud mountain minnow,Cyprinidae,CYPRINIFORMES
Campostoma anomalum,Central stoneroller,Cyprinidae,CYPRINIFORMES
Campostoma oligolepis,Largescale stoneroller,Cyprinidae,CYPRINIFORMES
Aulopyge huegelii,Dalmatian barbelgudgeon,Cyprinidae,CYPRINIFORMES
Orthodon microlepidotus,Sacramento blackfish,Cyprinidae,CYPRINIFORMES
Lavinia exilicauda,Hitch,Cyprinidae,CYPRINIFORMES
Plagopterus argentissimus,Woundfin,Cyprinidae,CYPRINIFORMES
Iotichthys phlegethontis,Least chub,Cyprinidae,CYPRINIFORMES
Phenacobius catostomus,Riffle minnow,Cyprinidae,CYPRINIFORMES
Evarra bustamantei,,Cyprinidae,CYPRINIFORMES
Aspius aspius,Asp,Cyprinidae,CYPRINIFORMES
Clinostomus elongatus,Redside dace,Cyprinidae,CYPRINIFORMES
Balantiocheilos melanopterus,Tricolor sharkminnow,Cyprinidae,CYPRINIFORMES
Moroco steindachneri,,Cyprinidae,CYPRINIFORMES
Mandibularca resinus,,Cyprinidae,CYPRINIFORMES
Chalcalburnus chalcoides,Danube bleak,Cyprinidae,CYPRINIFORMES
Chalcalburnus tarichi,Tarek,Cyprinidae,CYPRINIFORMES
Acanthorhodeus asmussii,Russian bitterling,Cyprinidae,CYPRINIFORMES
Pseudorasbora parva,Stone moroko,Cyprinidae,CYPRINIFORMES
Bangana behri,,Cyprinidae,CYPRINIFORMES
Bangana yunnanensis,,Cyprinidae,CYPRINIFORMES
Bangana dero,Kalabans,Cyprinidae,CYPRINIFORMES
Barbichthys nitidus,,Cyprinidae,CYPRINIFORMES
Barbodes balleroides,,Cyprinidae,CYPRINIFORMES
Barbodes platysoma,,Cyprinidae,CYPRINIFORMES
Leptobarbus hoeveni,Hoven's carp,Cyprinidae,CYPRINIFORMES
Acrocheilus alutaceus,Chiselmouth,Cyprinidae,CYPRINIFORMES
Hemiculter leucisculus,Sharpbelly,Cyprinidae,CYPRINIFORMES
Barboides gracilis,,Cyprinidae,CYPRINIFORMES
Barbopsis devecchii,Somalian blind barb,Cyprinidae,CYPRINIFORMES
Tanakia tanago,Tokyo bitterling,Cyprinidae,CYPRINIFORMES
Biwia zezera,,Cyprinidae,CYPRINIFORMES
Pseudaspius leptocephalus,Redfin,Cyprinidae,CYPRINIFORMES
Boraras brigittae,,Cyprinidae,CYPRINIFORMES
Caecobarbus geertsii,Congo blind barb,Cyprinidae,CYPRINIFORMES
Caecocypris basimi,,Cyprinidae,CYPRINIFORMES
Mylopharyngodon piceus,Black carp,Cyprinidae,CYPRINIFORMES
Capoeta capoeta,Seven khramulya,Cyprinidae,CYPRINIFORMES
Capoeta damascina,,Cyprinidae,CYPRINIFORMES
Luxilus chrysocephalus,Striped shiner,Cyprinidae,CYPRINIFORMES
Luxilus cornutus,Common shiner,Cyprinidae,CYPRINIFORMES
Oregonichthys crameri,Oregon chub,Cyprinidae,CYPRINIFORMES
Gnathopogon caerulescens,,Cyprinidae,CYPRINIFORMES
Gnathopogon elongatus,,Cyprinidae,CYPRINIFORMES
