SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,,,26.10000038,0.370000005,,Egypt,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,,,26.10000038,0.379999995,near Egyptian border,Sudan,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,,FL,21.60000038,0.430000007,Zanzibar,Tanzania,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,24.29999924,0.586000025,"Thousand Islands, Java Sea",Indonesia,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,22.60000038,0.649999976,"Red Sea, Al Ghardaqa",Egypt,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,27.29999924,0.860000014,Palawan,Philippines,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,23.79999924,0.949999988,South Coast,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,24.79999924,0.949999988,Negombo,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,annuli on many otoliths,TL,23.20000076,1.100000024,St. Vincent,New Caledonia,no,sinusoidal oscillation considered
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,25.79999924,1.149999976,"off Pekalongan, North/Central Java",Indonesia,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,25.20000076,1.174999952,Java Sea,Indonesia,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,25.20000076,1.25,Western coast,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,NG,29,1.299999952,Camotes Sea,Philippines,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,23.29999924,1.299999952,"Java Sea, off Pekalongan and Juwana",Indonesia,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,24.60000038,1.299999952,South west coast,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,annuli on many otoliths,TL,21.70000076,1.350000024,Dumbea Bay,New Caledonia,no,Sinusoidal oscillation considered.
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,daily otolith rings,SL,26,1.399999976,,Kiribati,no,daily growth converted to L&K by dL/dt=K*(Linf/2)
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,annuli on many otoliths,TL,22.20000076,1.580000043,lagoons,New Caledonia,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,22.79999924,2.059999943,South west coast,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,TL,25.20000076,2.099999905,South Sulu Sea,Philippines,no,L(inf.) from Wetherall plot (Refs. 13313 & 13314).
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,length-frequencies,FL,22.5,2.150000095,South west coast,Sri Lanka,no,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,daily otolith rings,TL,22.89999962,2.380000114,Negombo,Sri Lanka,no,
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,male,other annual rings,TL,127,0.109999999,"Gulf of Maine (42°50'N, 70°15'W)",USA,no,Annual periodicity of bands investigated using marginal increment analysis (MIA) on vertebral sections.
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,female,other annual rings,TL,120,0.129999995,"Gulf of Maine (42°50'N, 70°15'W)",USA,no,
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,unsexed,,TL,66,0.230000004,North Sea,UK,no,
3821,Ammodytes,dubius,Ammodytes dubius,#N/A,unsexed,annuli on many otoliths,TL,30.29999924,0.330000013,"Western Emerald Bank, Nova Scotia",Canada,no,
3821,Ammodytes,dubius,Ammodytes dubius,#N/A,unsexed,annuli on many otoliths,TL,26.20000076,0.340000004,Grand Bank,Canada,no,
3821,Ammodytes,dubius,Ammodytes dubius,#N/A,unsexed,annuli on many otoliths,TL,20.29999924,0.379999995,"Banquereau, Nova Scotia",Canada,no,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,TL,12.19999981,0.980000019,,Isle of Man,yes,May-July samples
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,TL,24.89999962,0.163000003,Novaya Zemlya,Russian Fed,no,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,TL,15,0.333999991,Western Irish Sea,Ireland,no,May-July samples
37,Ammodytes,marinus,Ammodytes marinus,#N/A,mixed,,TL,18.5,0.360000014,Shetland,UK Scotland,no,M of 1.09 (SD = 0.566) is mean of age-specific estimates for adults given in Ref. 79880. Age-specific M estimates with corresponding mean lengths are: 2.10 (7.9 cm); 1.80 (11.5 cm); 0.60 (13.3 cm); 0.65 (14.8 cm); 1.60 (15.9 cm); 0.80 (16.9 cm).
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,TL,20,0.393000007,Northeastern coast,UK Scotland,no,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,annuli on many otoliths,TL,18.39999962,0.870000005,Western Baltic,Germany,no,Growth estimated from data in Ref. 47152 (RF).
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,TL,21.79999924,0.889999986,"Haddock Bank, Southern North Sea",UK Engld Wal,no,July-August samples
