Year,Species,Metric Tons,Pounds,Revenue
2007,MULLETS,0.1,298,597
2007,"MUSSEL, BLUE",215.3,474554,3819966
2007,OCEAN SUNFISH,0,86,31
2007,OCTOPUS,13.4,29591,73298
2007,OILFISH,207.8,458221,1019750
2007,OPAH,556.3,1226428,2170629
2007,"OYSTER, EASTERN",12.6,27868,272193
2007,"OYSTER, EUROPEAN FLAT",7.6,16662,255614
2007,"OYSTER, OLYMPIA",0,59,4495
2007,"OYSTER, PACIFIC",5702.1,12570953,46119185
2007,PARROTFISHES,19.7,43458,155803
2007,"POLLOCK, WALLEYE",1391001.8,3066602600,297460589
2007,POMFRETS,269,592991,1460868
2007,"PRICKLEBACK, MONKEYFACE",0,39,131
2007,"ROCKFISH, AURORA",3.7,8075,3561
2007,"ROCKFISH, BANK",26,57211,64140
2007,"ROCKFISH, BLACK",184.2,406173,757992
2007,"ROCKFISH, BLACK-AND-YELLOW",10.3,22762,162228
2007,"ROCKFISH, BLACKGILL",24.5,54059,84830
2007,"ROCKFISH, BLUE",18.9,41727,58920
2007,"ROCKFISH, BOCACCIO",6.8,15022,19945
2007,"ROCKFISH, BRONZESPOTTED",0,96,121
2007,"ROCKFISH, BROWN",21.9,48177,294079
2007,"ROCKFISH, CANARY",5.8,12798,6833
2007,"ROCKFISH, CHILIPEPPER",56.1,123685,100059
2007,"ROCKFISH, CHINA",4.2,9187,67606
2007,"ROCKFISH, COPPER",5.2,11574,45769
2007,"ROCKFISH, DARKBLOTCHED",136.2,300244,152846
2007,"ROCKFISH, FLAG",0.2,343,1186
2007,"ROCKFISH, GOPHER",19.9,43922,311449
2007,"ROCKFISH, GRASS",19.1,42093,428315
2007,"ROCKFISH, GREENBLOTCHED",0.9,1892,2055
2007,"ROCKFISH, GREENSPOTTED",0.9,1915,4599
2007,"ROCKFISH, GREENSTRIPED",0,41,43
2007,"ROCKFISH, KELP",0.5,1001,5664
2007,"ROCKFISH, OLIVE",1,2281,4640
2007,"ROCKFISH, PACIFIC OCEAN PERCH",28117.5,61987758,14768263
