Stock,SciName,wt_mean_sp_price,NumStocks,FiveYr_mean_stockprice,yrs
sAtl red grouper,Epinephelus morio,5615.636685,2,6370.35,2007-2011
SE Alaska sea cucumber,Parastichopus californicus,6408.05385,2,8297.155665,2008-2012
BC sea cucumber,Parastichopus californicus,6408.05385,2,4256.227758,2003-2007
USNE black sea bass,Centropristis striata,6425.186334,2,6815.6438,2006-2010
sAtl black sea bass,Centropristis striata,6425.186334,2,4882.322,2007-2011
GoMex red snapper,Lutjanus campechanus,7105.41826,2,7087.932,2007-2011
sAtl red snapper,Lutjanus campechanus,7105.41826,2,7393.2512,2006-2010
Alaska sablefish,Anoplopoma fimbria,7445.876699,3,8431.540251,2008-2012
USWC sablefish,Anoplopoma fimbria,7445.876699,3,5410.860491,2008-2012
BC sablefish,Anoplopoma fimbria,7445.876699,3,7557.200872,2006-2010
Nephrops ICES VII,Nephrops norvegicus,7896.042501,4,8134.840233,2007-2011
Nephrops ICES VIII,Nephrops norvegicus,7896.042501,4,12822.33352,2007-2011
Nephrops North Sea,Nephrops norvegicus,7896.042501,4,7360.721832,2007-2011
Nephrops West of Scotland,Nephrops norvegicus,7896.042501,4,7240.174736,2007-2011
GoMex gag grouper,Mycteroperca microlepis,7983.078111,2,7663.298,2007-2011
sAtl gag grouper,Mycteroperca microlepis,7983.078111,2,8389.366,2007-2011
GeBank/GoMaine Atlantic halibut,Hippoglossus hippoglossus,8254.842713,6,11001.754,2006-2010
Nova Scotia Halibut (Atlantic),Hippoglossus hippoglossus,8254.842713,6,9577.538504,2006-2010
New Brunswick Halibut (Atlantic),Hippoglossus hippoglossus,8254.842713,6,6778.881141,2006-2010
PEI Halibut (Atlantic),Hippoglossus hippoglossus,8254.842713,6,7495.203054,2006-2010
Quebec Halibut (Atlantic),Hippoglossus hippoglossus,8254.842713,6,5621.09872,2006-2010
Newfoundland Halibut (Atlantic),Hippoglossus hippoglossus,8254.842713,6,5665.320012,2006-2010
USWC cabezon (nCal),Scorpaenichthys marmoratus,8918.564626,3,9898.138268,2008-2012
USWC cabezon (OR),Scorpaenichthys marmoratus,8918.564626,3,7693.59087,2008-2012
USWC cabezon (sCal),Scorpaenichthys marmoratus,8918.564626,3,9898.138268,2008-2012
GeBank American lobster,Homarus americanus,9099.708155,8,8961.858,2005-2009
GoMaine American lobster,Homarus americanus,9099.708155,8,8961.858,2005-2009
sNEng American lobster,Homarus americanus,9099.708155,8,8961.858,2005-2009
Nova Scotia Lobster,Homarus americanus,9099.708155,8,9462.546561,2006-2010
New Brunswick Lobster,Homarus americanus,9099.708155,8,8578.971279,2006-2010
PEI Lobster,Homarus americanus,9099.708155,8,8676.468131,2006-2010
Quebec Lobster,Homarus americanus,9099.708155,8,10178.64334,2006-2010
Newfoundland Lobster,Homarus americanus,9099.708155,8,8675.552091,2006-2010
Nova Scotia Swordfish,Xiphias gladius,9211.029397,3,6328.850488,2006-2010
Newfoundland Swordfish,Xiphias gladius,9211.029397,3,6202.161932,2006-2010
EU swordfish,Xiphias gladius,9211.029397,3,9357,2007-2011
Nova Scotia Tuna,Thunnus thynnus,9948.424242,4,12067.46327,2006-2010
PEI Tuna,Thunnus thynnus,9948.424242,4,12887.46094,2006-2010
Newfoundland Tuna,Thunnus thynnus,9948.424242,4,7227.743855,2006-2010
EU bluefin tuna,Thunnus thynnus,9948.424242,4,9673,2007-2011
Bristol Bay red king crab,Paralithodes camtschaticus,11206.28215,2,11206.28215,2008-2012
Norton Sound red king crab,Paralithodes camtschaticus,11206.28215,2,11206.28215,2008-2012
SE Alaska spot shrimp,Pandalus platyceros,11562.311,2,13506.97007,2008-2012
BC spot prawn,Pandalus platyceros,11562.311,2,11175.90528,2005-2009
common European sole Bay of Biscay,Solea solea ,12799.46884,7,13159.82435,2007-2011
common European sole Celtic Sea,Solea solea ,12799.46884,7,10905.4873,2007-2011
common European sole ICES Kattegat and Skagerrak,Solea solea ,12799.46884,7,9559.213214,2007-2011
common European sole ICES VIId,Solea solea ,12799.46884,7,12767.19184,2007-2011
common European sole Irish Sea,Solea solea ,12799.46884,7,11968.06008,2007-2011
common European sole North Sea,Solea solea ,12799.46884,7,12962.37174,2007-2011
common European sole Western English Channel,Solea solea ,12799.46884,7,11814.34807,2007-2011
Alaska scallop Bering Sea,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
Alaska scallop Kodiak NE,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
Alaska scallop Kodiak Shelikof,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
Alaska scallop PWS,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
Alaska scallop Yakutat Area D,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
Alaska scallop Yakutat Dist 16,Patinopecten caurinus,13056.74135,6,13056.74135,2004-2008
SE Alaska geoduck,Panopea generosa,14062.01856,3,14484.18583,2008-2012
WA geoduck clam,Panopea generosa,14062.01856,3,11318.4164,2005-2009
BC geoduck,Panopea generosa,14062.01856,3,17731.19434,2005-2009
