Species_AFSIS
Aba
False trevally
Fat sleeper
Filefishes nei
"Filefishes, leatherjackets nei"
Finetooth shark
Finfishes nei
Fire eel
Five-lined snapper
Flabellum cup corals nei
Flagfin mojarra
Flat needlefish
Flatfishes nei
Flathead catfish
Flathead grey mullet
Flathead lobster
Flathead sole
Flatheads nei
Fleshy prawn
Florida pompano
Flying gurnard
Flyingfishes nei
Forkbeard
Forkbeards nei
Forktail lates
Four-spot megrim
Fourbeard rockling
Fourfinger threadfin
Fourlined terapon
Fourspot flounder
Freshwater bream
Freshwater breams nei
Freshwater crustaceans nei
Freshwater drum
Freshwater fishes nei
Freshwater gobies nei
Freshwater minnow
Freshwater molluscs nei
Freshwater mussel shells
Freshwater perches nei
"Freshwater prawns, shrimps nei"
Freshwater siluroids nei
Frigate and bullet tunas
Frigate tuna
Fringebarbel sturgeon
Frogs
Frostfishes
Fusiliers nei
Gadiformes nei
Gag
Garfish
Gars nei
Gastropods nei
Gay's little venus
Gazami crab
Geelbek croaker
Ghost shark
Ghost shrimps nei
Giant African threadfin
Giant abalone
Giant barnacle
Giant boarfish
Giant catfish
Giant cichlid
Giant featherback
Giant gourami
Giant guitarfish
Giant manta
Giant red shrimp
Giant river prawn
Giant seabass
Giant stargazer
Giant stone crab
Giant tiger prawn
Giant trevally
Gilded catfish
Gilthead seabream
Glass catfishes
Glass schilbid
Glassfishes
Globose king crab
Glove sponge
Goatfishes
"Goatfishes, red mullets nei"
Gobies nei
Golden deepsea crab
Golden grey mullet
Golden king crab
Golden redfish
Golden shrimp
Golden threadfin bream
Golden trevally
Goldfish
Goldsilk seabream
Goldsinny-wrasse
Goldstripe sardinella
Gonate squids nei
Goose barnacles nei
Gorgonians
Grass carp(=White amur)
Grass-eaters nei
Grayling
Greasy grouper
Great Atlantic scallop
Great Mediterranean scallop
Great Northern tilefish
Great barracuda
Great lanternshark
Great white shark
Greater amberjack
Greater argentine
Greater forkbeard
Greater hooked squid
Greater lizardfish
Greater weever
Green crab
Green humphead parrotfish
Green jobfish
Green mussel
Green rock lobster
Green spiny lobster
Green sturgeon
Green terror
Green tiger prawn
Green turtle
Green weakfish
Greenback horse mackerel
Greeneyes
Greenland cod
Greenland halibut
Greenland shark
Grenadier cod
Grenadiers nei
"Grenadiers, rattails nei"
"Grenadiers, whiptails nei"
Grey gurnard
Grey rockcod
Grey snapper
Grey tilefish
Grey triggerfish
Grooved carpet shell
Grooved sea squirt
Groundfishes nei
Groupers nei
