"","Country","Stocks","TotalMSY","TotalCatch","MedianB","MedianF","PercBvBmsyBelowOne","PercFvFmsyAboveOne","NeiCatch","NeiStocks","FaoCatch","FaoFisheries","PercCatchCovered","PercFisheriesCovered"
"6","Antigua and Barbuda",15,1270.9068204909,1176,0.759132478535327,1.00957926911964,73.3333333333333,53.3333333333333,953,13,3050,22,38.5573770491803,68.1818181818182
"160","Syrian Arab Republic",21,1244.67287313479,920,0.742057758847001,0.964871111615828,80.9523809523809,42.8571428571429,434,12,1550,34,59.3548387096774,61.7647058823529
"38","Cyprus",24,1083.51551811667,568,0.767560527971125,0.75287465863879,70.8333333333333,37.5,189,6,1303,96,43.5917114351497,25
"140","Saint Lucia",9,1074.35862630995,898,0.706590645097778,0.950388821900926,88.8888888888889,33.3333333333333,48,3,2205,27,40.7256235827664,33.3333333333333
"100","Martinique",6,1070.80725235815,1052,0.707595020699849,0.975809536534119,66.6666666666667,50,725,2,7900,16,13.3164556962025,37.5
"56","French Guiana",1,990.884725270986,742,0.436996526130423,1.71357369608545,100,100,742,1,3655,18,20.3009575923393,5.55555555555556
"73","Haiti",3,946.955780363222,550,0.436237884690017,1.6763545318604,100,66.6666666666667,300,2,15900,6,3.45911949685535,50
"20","British Virgin Islands",7,910.441508752922,388,0.706590645097778,1.19265047250026,71.4285714285714,57.1428571428571,97,4,1200,18,32.3333333333333,38.8888888888889
"150","Slovenia",21,895.012327223993,192,0.829486704744055,0.92928798227163,61.9047619047619,38.0952380952381,58,6,336,50,57.1428571428571,42
"13","Barbados",7,642.325872550765,559,0.710622601619998,0.961593446491387,85.7142857142857,42.8571428571429,58,4,1363,21,41.0124724871607,33.3333333333333
"48","Equatorial Guinea",3,634.369068073127,408,0.603951436307493,1.50806988562653,100,66.6666666666667,407,2,9758,15,4.18118466898955,20
"132","Puerto Rico",31,570.291668665667,424.107283078131,0.78238948949093,0.961593446491387,80.6451612903226,38.7096774193548,130,17,1268,49,33.4469466149946,63.265306122449
"138","Saint Helena",7,524.989498750012,383,0.686075540356981,1.13413985263475,85.7142857142857,71.4285714285714,37,5,678,19,56.4896755162242,36.8421052631579
"136","Romania",16,479.478613899113,73,0.59978389921418,1.13906714294597,87.5,56.25,4,6,810,191,9.01234567901234,8.37696335078534
"58","French Southern Terr",1,444.935480105366,390,0.505774028373609,1.73304980531272,100,100,NA,NA,470,3,82.9787234042553,33.3333333333333
